Upstream1,Upstream2,Upstream3,timestep,flood_map_file
172.9845309,19.4907,57.7566,8.0,/data/carlisle/simulation/Run3/Run3-0008.wd
181.4898643,20.3595,61.8552,9.0,/data/carlisle/simulation/Run3/Run3-0009.wd
189.9951977,21.2283,65.9538,10.0,/data/carlisle/simulation/Run3/Run3-0010.wd
198.5005311,22.0971,70.0524,11.0,/data/carlisle/simulation/Run3/Run3-0011.wd
207.0058645,22.9659,74.151,12.0,/data/carlisle/simulation/Run3/Run3-0012.wd
215.5111979,23.8347,78.2496,13.0,/data/carlisle/simulation/Run3/Run3-0013.wd
224.0165313,24.7035,82.3482,14.0,/data/carlisle/simulation/Run3/Run3-0014.wd
232.5218647,25.5723,86.4468,15.0,/data/carlisle/simulation/Run3/Run3-0015.wd
241.0271981,26.4411,90.5454,16.0,/data/carlisle/simulation/Run3/Run3-0016.wd
249.5325315,27.3099,94.644,17.0,/data/carlisle/simulation/Run3/Run3-0017.wd
258.0378649,28.1787,98.7426,18.0,/data/carlisle/simulation/Run3/Run3-0018.wd
266.5431983,29.0475,102.8412,19.0,/data/carlisle/simulation/Run3/Run3-0019.wd
275.0485317,29.9163,106.9398,20.0,/data/carlisle/simulation/Run3/Run3-0020.wd
283.5538651,30.7851,111.0384,21.0,/data/carlisle/simulation/Run3/Run3-0021.wd
292.0591985,31.6539,115.137,22.0,/data/carlisle/simulation/Run3/Run3-0022.wd
300.5645319,32.5227,119.2356,23.0,/data/carlisle/simulation/Run3/Run3-0023.wd
309.0698653,33.3915,123.3342,24.0,/data/carlisle/simulation/Run3/Run3-0024.wd
317.5751987,34.2603,127.4328,25.0,/data/carlisle/simulation/Run3/Run3-0025.wd
326.0805321,35.1291,131.5314,26.0,/data/carlisle/simulation/Run3/Run3-0026.wd
334.5858655,35.9979,135.63,27.0,/data/carlisle/simulation/Run3/Run3-0027.wd
343.0911989,36.8667,139.7286,28.0,/data/carlisle/simulation/Run3/Run3-0028.wd
351.5965323,37.7355,143.8272,29.0,/data/carlisle/simulation/Run3/Run3-0029.wd
360.1018657,38.6043,147.9258,30.0,/data/carlisle/simulation/Run3/Run3-0030.wd
368.6071991,39.4731,152.0244,31.0,/data/carlisle/simulation/Run3/Run3-0031.wd
377.1125325,40.3419,156.123,32.0,/data/carlisle/simulation/Run3/Run3-0032.wd
385.6178659,41.2107,160.2216,33.0,/data/carlisle/simulation/Run3/Run3-0033.wd
394.1231993,42.0795,164.3202,34.0,/data/carlisle/simulation/Run3/Run3-0034.wd
402.6285327,42.9483,168.4188,35.0,/data/carlisle/simulation/Run3/Run3-0035.wd
411.1338661,43.8171,172.5174,36.0,/data/carlisle/simulation/Run3/Run3-0036.wd
419.6391995,44.6859,176.616,37.0,/data/carlisle/simulation/Run3/Run3-0037.wd
428.1445329,45.5547,180.7146,38.0,/data/carlisle/simulation/Run3/Run3-0038.wd
436.6498663,46.4235,184.8132,39.0,/data/carlisle/simulation/Run3/Run3-0039.wd
445.1551997,47.2923,188.9118,40.0,/data/carlisle/simulation/Run3/Run3-0040.wd
453.6605331,48.1611,194.0104,41.0,/data/carlisle/simulation/Run3/Run3-0041.wd
462.1658665,49.0299,199.109,42.0,/data/carlisle/simulation/Run3/Run3-0042.wd
470.6711999,49.8987,204.2076,43.0,/data/carlisle/simulation/Run3/Run3-0043.wd
479.1765333,50.7675,209.3062,44.0,/data/carlisle/simulation/Run3/Run3-0044.wd
487.6818667,51.6363,214.4048,45.0,/data/carlisle/simulation/Run3/Run3-0045.wd
496.1872001,52.5051,219.5034,46.0,/data/carlisle/simulation/Run3/Run3-0046.wd
504.6925335,53.3739,224.602,47.0,/data/carlisle/simulation/Run3/Run3-0047.wd
513.1978669,54.2427,229.7006,48.0,/data/carlisle/simulation/Run3/Run3-0048.wd
521.7032003,55.1115,234.7992,49.0,/data/carlisle/simulation/Run3/Run3-0049.wd
530.2085337,55.9803,239.8978,50.0,/data/carlisle/simulation/Run3/Run3-0050.wd
538.7138671,56.8491,244.9964,51.0,/data/carlisle/simulation/Run3/Run3-0051.wd
547.2192005,57.7179,250.095,52.0,/data/carlisle/simulation/Run3/Run3-0052.wd
555.7245339,58.5867,255.1936,53.0,/data/carlisle/simulation/Run3/Run3-0053.wd
564.2298673,59.4555,260.2922,54.0,/data/carlisle/simulation/Run3/Run3-0054.wd
572.7352007,60.3243,265.3908,55.0,/data/carlisle/simulation/Run3/Run3-0055.wd
581.2405341,61.1931,270.4894,56.0,/data/carlisle/simulation/Run3/Run3-0056.wd
589.7458675,62.0619,275.588,57.0,/data/carlisle/simulation/Run3/Run3-0057.wd
598.2512009,62.9307,280.6866,58.0,/data/carlisle/simulation/Run3/Run3-0058.wd
606.7565343,63.7995,285.7852,59.0,/data/carlisle/simulation/Run3/Run3-0059.wd
615.2618677,64.6683,291.8838,60.0,/data/carlisle/simulation/Run3/Run3-0060.wd
623.7672011,65.5371,295.9824,61.0,/data/carlisle/simulation/Run3/Run3-0061.wd
628.489801,66.4059,300.081,62.0,/data/carlisle/simulation/Run3/Run3-0062.wd
632.3433348,68.7291,304.1796,63.0,/data/carlisle/simulation/Run3/Run3-0063.wd
637.5004678,71.8707,308.2782,64.0,/data/carlisle/simulation/Run3/Run3-0064.wd
641.3798266,74.7978,312.3768,65.0,/data/carlisle/simulation/Run3/Run3-0065.wd
645.2692907,77.7678,316.4754,66.0,/data/carlisle/simulation/Run3/Run3-0066.wd
651.7771817,80.5046,320.574,67.0,/data/carlisle/simulation/Run3/Run3-0067.wd
659.6257252,83.556,324.6726,68.0,/data/carlisle/simulation/Run3/Run3-0068.wd
670.1555736,85.8022,328.7712,69.0,/data/carlisle/simulation/Run3/Run3-0069.wd
691.4443266,88.6402,332.8698,70.0,/data/carlisle/simulation/Run3/Run3-0070.wd
714.3937371,91.2241,336.9684,71.0,/data/carlisle/simulation/Run3/Run3-0071.wd
770.8852848,93.8355,341.067,72.0,/data/carlisle/simulation/Run3/Run3-0072.wd
897.2243778,96.7692,345.1656,73.0,/data/carlisle/simulation/Run3/Run3-0073.wd
1089.852785,99.4378,349.2642,74.0,/data/carlisle/simulation/Run3/Run3-0074.wd
1281.443703,102.4342,353.3628,75.0,/data/carlisle/simulation/Run3/Run3-0075.wd
1430.933192,105.4647,357.4614,76.0,/data/carlisle/simulation/Run3/Run3-0076.wd
1520.481816,109.1442,361.56,77.0,/data/carlisle/simulation/Run3/Run3-0077.wd
1587.614372,112.2462,365.6586,78.0,/data/carlisle/simulation/Run3/Run3-0078.wd
1624.860707,115.3801,355.2428,79.0,/data/carlisle/simulation/Run3/Run3-0079.wd
1639.075666,118.547,343.3584,80.0,/data/carlisle/simulation/Run3/Run3-0080.wd
1646.188759,121.4235,333.3638,81.0,/data/carlisle/simulation/Run3/Run3-0081.wd
1656.865698,124.3264,324.049,82.0,/data/carlisle/simulation/Run3/Run3-0082.wd
1658.646497,126.2756,317.1212,83.0,/data/carlisle/simulation/Run3/Run3-0083.wd
1669.332418,129.2214,305.6867,84.0,/data/carlisle/simulation/Run3/Run3-0084.wd
1665.769696,130.8681,297.7678,85.0,/data/carlisle/simulation/Run3/Run3-0085.wd
1703.226,132.1914,291.5946,86.0,/data/carlisle/simulation/Run3/Run3-0086.wd
1713.946728,133.5191,282.1401,87.0,/data/carlisle/simulation/Run3/Run3-0087.wd
1744.362922,134.8523,276.0791,88.0,/data/carlisle/simulation/Run3/Run3-0088.wd
1764.077475,136.191,270.0621,89.0,/data/carlisle/simulation/Run3/Run3-0089.wd
1783.817853,136.862,265.1726,90.0,/data/carlisle/simulation/Run3/Run3-0090.wd
1783.817853,137.8707,257.6277,91.0,/data/carlisle/simulation/Run3/Run3-0091.wd
1799.988772,138.5439,253.8822,92.0,/data/carlisle/simulation/Run3/Run3-0092.wd
1778.431664,138.8816,247.5044,93.0,/data/carlisle/simulation/Run3/Run3-0093.wd
1776.636267,138.5439,243.8095,94.0,/data/carlisle/simulation/Run3/Run3-0094.wd
1771.253446,138.2073,239.0861,95.0,/data/carlisle/simulation/Run3/Run3-0095.wd
1751.528788,137.5341,234.9138,96.0,/data/carlisle/simulation/Run3/Run3-0096.wd
1726.462853,136.191,230.2498,97.0,/data/carlisle/simulation/Run3/Run3-0097.wd
1699.654295,134.519,227.1588,98.0,/data/carlisle/simulation/Run3/Run3-0098.wd
1674.679309,132.5225,224.081,99.0,/data/carlisle/simulation/Run3/Run3-0099.wd
1644.410205,130.2081,219.9989,100.0,/data/carlisle/simulation/Run3/Run3-0100.wd
1610.659223,128.2369,217.4612,101.0,/data/carlisle/simulation/Run3/Run3-0101.wd
1592.928701,126.2756,213.9247,102.0,/data/carlisle/simulation/Run3/Run3-0102.wd
1552.238663,123.3562,210.408,103.0,/data/carlisle/simulation/Run3/Run3-0103.wd
1529.294866,121.4235,208.9065,104.0,/data/carlisle/simulation/Run3/Run3-0104.wd
1478.261369,118.8649,205.9145,105.0,/data/carlisle/simulation/Run3/Run3-0105.wd
1464.219325,116.3272,202.4429,106.0,/data/carlisle/simulation/Run3/Run3-0106.wd
1429.183831,114.1228,200.4673,107.0,/data/carlisle/simulation/Run3/Run3-0107.wd
1408.211715,111.9349,198.4994,108.0,/data/carlisle/simulation/Run3/Run3-0108.wd
1373.340153,109.7624,196.537,109.0,/data/carlisle/simulation/Run3/Run3-0109.wd
1348.992826,107.6053,193.6066,110.0,/data/carlisle/simulation/Run3/Run3-0110.wd
