event_id,event_duration_hours,number_of_timesteps,event_name,peak_flow,peak_timestep,peak_sea_level,peak_sea_level_timestep,peak_volume,peak_volume_timestep
1,49.0,50,Base0_Buller20yrARI_v2,7451.25,38.0,1.87342125,3.0,33729760.0,40.0
2,49.0,50,Base1_Buller50yrARI_v2,8514.321666666665,38.0,1.87342125,3.0,42343232.0,40.0
3,49.0,50,Base2_Buller100yrARI,9304.31,38.0,1.87342125,3.0,50390348.0,40.0
4,53.0,54,Base3_Buller50yrARI_RCP4pt5,9504.9991025641,41.0,2.6316175000000004,6.0,60410496.0,43.0
5,56.0,57,Base4_Buller50yrARI_RCP6pt0,9829.35943452381,43.0,2.827799583333334,8.0,65355112.0,45.0
6,56.0,57,Base5_Buller50yrARI_RCP8pt5,10593.151554907678,42.0,2.9831975,8.0,71982864.0,44.0
7,53.0,54,Base6_Buller100yrARI_RCP4pt5,10396.233333333334,41.0,2.6316175000000004,6.0,67455176.0,43.0
8,56.0,57,Base7_Buller100yrARI_RCP6pt0,10750.684523809525,43.0,2.827799583333334,8.0,71792088.0,45.0
9,56.0,57,Base8_Buller100yrARI_RCP8pt5,11613.34900388727,42.0,2.9831975,8.0,78656176.0,44.0
10,61.0,62,S01,8183.3031709246,42.0,2.71881983609925,50.0,44954220.0,39.0
11,48.0,49,S02,6636.67654022887,30.0,4.68114591140711,43.0,75986176.0,31.0
12,30.0,31,S03,7384.18761314189,19.0,3.23208124903427,6.0,51149448.0,19.0
13,42.0,43,S04,7560.43423266482,27.0,3.16041879372574,23.0,46693964.0,36.0
14,73.0,74,S05,6267.91488237838,57.0,3.86286195754477,1.0,48175772.0,52.0
15,47.0,48,S06,4370.34135247335,24.0,4.90363448438817,5.0,71110968.0,30.0
16,24.0,25,S07,1926.15923455031,9.0,3.98706551192026,10.0,47395096.0,10.0
17,27.0,28,S08,4975.40597019667,19.0,5.07837849867559,24.0,77295624.0,24.0
18,13.0,14,S09,1927.96992828019,9.0,5.17379244954149,11.0,77481944.0,11.0
19,24.0,25,S10,4297.19869631284,19.0,1.18063761283246,5.0,8944866.0,18.0
20,20.0,21,S11,4453.43720526799,14.0,1.55904724210372,9.0,11046057.0,9.0
21,43.0,44,S12,5423.13519548776,27.0,1.13615384615385,5.0,13557647.0,30.0
22,26.0,27,S13,3784.13618411007,12.0,1.54132580305844,14.0,10435647.0,15.0
23,27.0,28,S14,3795.79268092307,20.0,1.7925641025641,8.0,12290591.0,21.0
24,30.0,31,S15,4210.70614937956,22.0,0.89,2.0,6916536.5,26.0
25,60.0,61,S16,6348.71794871795,38.0,1.48142982426529,46.0,19418604.0,46.0
26,26.0,27,S17,8430.76923076923,19.0,1.38230769230769,15.0,27670442.0,20.0
27,31.0,32,S18,9620.51282051282,19.0,1.21820512820513,4.0,43521580.0,20.0
28,36.0,37,S19,10810.2564102564,21.0,1.05410256410256,17.0,54339576.0,24.0
29,30.0,31,S20,12000.0,23.0,0.89,21.0,68133272.0,23.0
30,31.0,32,S21,4464.07506033416,10.0,2.28487179487179,27.0,17991874.0,15.0
31,24.0,25,S22,2817.66560735903,7.0,2.69512820512821,0.0,19066038.0,1.0
32,32.0,33,S23,4954.93293027601,19.0,2.69512820512821,6.0,23914436.0,19.0
33,29.0,30,S24,2197.15209922738,15.0,1.71051282051282,12.0,10041683.0,12.0
34,30.0,31,S25,5399.83617167827,18.0,1.8386699726204,14.0,18121578.0,15.0
35,14.0,15,S26,1861.5320693023,8.0,2.20282051282051,8.0,13734929.0,8.0
36,26.0,27,S27,2999.73149196735,11.0,2.20282051282051,26.0,13990508.0,15.0
37,43.0,44,S28,7299.30980799164,28.0,1.98894045522258,37.0,31735632.0,26.0
38,50.0,51,S29,5260.12085442745,22.0,2.18635986102704,42.0,18661618.0,30.0
39,30.0,31,S30,3470.08937235612,14.0,2.77717948717949,21.0,22392712.0,22.0
40,30.0,31,S31,5696.634145195792,13.0,1.05,21.0,14041042.0,21.0
41,28.0,29,S32,3559.450548900601,12.0,1.65,19.0,10461769.0,20.0
42,44.0,45,S33,5948.682286798676,14.0,0.6,10.0,12857491.0,22.0
43,48.0,49,S34,5057.153815583323,26.0,0.7,43.0,10126600.0,31.0
44,47.0,95,S35,2046.3139997885503,14.0,2.5,21.5,16531866.0,22.0
45,39.0,79,S36,3546.754919537558,18.0,3.53,7.5,35955776.0,8.0
46,32.0,65,S37,2679.0966431481115,20.0,3.3,10.0,30378054.0,11.0
47,42.0,85,S38,3062.535952010598,20.0,2.58,6.5,19042612.0,19.0
48,38.0,39,S39,5162.950554917024,15.0,2.15,19.0,19620174.0,20.0
49,48.0,97,S40,5403.595006188583,16.0,3.13,6.0,36469476.0,19.0
50,37.0,38,S41,5111.586880426088,14.0,1.42,5.0,13438642.0,18.0
51,31.0,32,S42,4873.9967347434285,12.0,1.95,9.0,14646007.0,9.0
52,37.0,38,S43,3951.5818663395903,21.0,2.08,9.0,13742731.0,21.0
53,48.0,49,S44,3727.368847243896,27.0,2.25,42.0,15213955.0,31.0
54,48.0,49,S45,4214.824821910719,23.0,1.73,7.0,12814445.0,20.0
55,38.0,39,S46,2898.073841634258,18.0,1.7,21.0,10594620.0,22.0
56,48.0,97,S47,2408.3951596718675,10.0,2.45,31.0,15876624.0,31.5
57,48.0,97,S48,1425.0827947883122,33.0,3.6,8.5,36787884.0,9.0
58,38.0,77,S49,2789.060921206236,25.0,3.0,18.0,23587824.0,18.5
59,36.0,73,S50,653.547662289432,0.0,1.86,18.0,10632608.0,18.5
60,37.0,75,S51,116.55994922478423,34.0,2.13,18.0,12710061.0,18.5
61,39.0,79,S52,968.6591853240182,20.0,2.4,18.5,15050633.0,19.0
62,39.0,79,S53,390.20626050976097,38.0,2.7,18.5,19436964.0,31.5
63,35.0,71,S54,9000.0,13.0,0.7,6.5,40646180.0,18.0
64,47.0,48,S55,7600.000000000001,13.0,1.1,14.0,29185772.0,15.0
65,37.0,38,S56,11299.999999999998,15.0,1.65,8.0,61101340.0,20.0
66,39.0,79,S57,10500.0,15.0,2.08,22.0,57869720.0,20.5
67,71.0,143,S58,9400.0,48.0,1.7,7.0,42737520.0,56.5
68,41.0,83,S59,7800.0,19.0,1.8,11.0,34315396.0,24.0
69,39.0,79,S60,8800.0,18.0,2.3,7.5,46254972.0,20.5
70,42.0,43,S61,6200.0,12.0,2.7,16.0,30905944.0,17.0
71,48.0,97,S62,5900.0,14.0,3.4,21.5,42921064.0,22.0
72,43.0,87,S63,11000.0,17.0,2.6,41.5,67351544.0,18.0
73,37.0,75,S64,8200.0,23.0,3.6,9.5,59167588.0,22.5
74,34.0,69,S65,10000.0,18.0,3.3,7.0,67939072.0,19.5
75,36.0,37,S66,3099.9999999999995,16.0,0.75,28.0,4868118.0,16.0
76,24.0,25,S67,1000.0,0.0,2.775,15.0,19119544.0,16.0
77,24.0,25,S68,1000.0,0.0,2.953,15.0,21940844.0,16.0
78,24.0,25,S69,1000.0,0.0,3.037,15.0,23322980.0,16.0
79,24.0,25,S70,1000.0,0.0,3.085,15.0,24170182.0,16.0
80,24.0,25,S71,1000.0,0.0,3.585,15.0,35152220.0,16.0
81,24.0,25,S72,1000.0,0.0,4.085,15.0,47904944.0,15.0
82,67.0,68,S73,10900.0,33.0,0.65,3.0,57829160.0,37.0
83,48.0,49,S74,11700.0,19.0,1.3,6.0,67973288.0,20.0
84,44.0,89,S75,12500.0,18.0,1.9,15.5,75438064.0,17.0
85,61.0,123,S76,10100.0,30.0,2.35,20.5,62147896.0,33.5
86,48.0,49,S77,9300.0,20.0,0.95,17.0,42917744.0,28.0
87,46.0,47,S78,8900.0,22.0,1.99,6.0,43750916.0,19.0
88,45.0,46,S79,7300.0,17.0,0.8,17.0,23332388.0,20.0
89,43.0,87,S80,6950.000000000001,12.0,2.4,15.5,33966608.0,16.0
90,36.0,37,S81,6300.0,12.0,1.28,7.0,17912778.0,19.0
91,34.0,69,S82,4000.0,12.0,2.48,18.0,18926810.0,18.5
92,45.0,91,S83,2800.0,21.0,1.93,17.5,12025551.0,17.5
