run_id,model,mse,rmse,inference_latency,hit_rate,csi,f2_score,f3_score,nse,flops,mRMSE,pred_memory_usage
20250920_070828_032711_tybtk9_2407630,1DCNN_V1,0.0348658487200737,0.1867239907458966,0.0340344905853271,,0.8000241050605821,0.771579082393686,0.6284932327880602,0.9586361050605774,595303168.0,0.1476788836494996,"{'max_cuda_memory': 7424770560.0, 'max_cpu_memory': 8.0, 'total_cuda_memory': 3093298176.0, 'total_cpu_memory': 0.0, 'total_cpu_time': 488285.21875, 'total_gpu_time': 285796.625, 'flops': 0.0}"
20250920_074023_476222_j3uvcx_2420731,1DCNN_V1,0.0320406444370746,0.1789990068047157,0.0344579219818115,,0.8123481403387545,0.7864889588999512,0.6505554621163122,0.961987853050232,595303168.0,0.1369262279052344,"{'max_cuda_memory': 7424770560.0, 'max_cpu_memory': 8.0, 'total_cuda_memory': 3093298176.0, 'total_cpu_memory': 0.0, 'total_cpu_time': 494798.125, 'total_gpu_time': 286257.1875, 'flops': 0.0}"
20250920_074446_190730_41p3tz_2423000,PICNN1D_V1,0.0387853942811489,0.1969400778946451,0.0619029998779296,,0.7985821498799055,0.736225951655294,0.6595204979844226,0.9539860486984252,595303168.0,0.1717034155339574,"{'max_cuda_memory': 7424770560.0, 'max_cpu_memory': 8.0, 'total_cuda_memory': 3093298176.0, 'total_cpu_memory': 0.0, 'total_cpu_time': 933467.75, 'total_gpu_time': 718025.75, 'flops': 0.0}"
20250921_094422_034698_wsg3pw_2476281,USSR_CNN1D_COMBINED,0.079431361399759,0.2818356992997143,177.95360922813416,,0.7818598971084738,0.758777849432871,0.5868018418925505,0.8691549912879342,2875828063.9992013,0.2094989765817354,"{'max_cuda_memory': 725319680.0, 'max_cpu_memory': 4648488.0, 'total_cpu_time': 1889780.375, 'total_gpu_time': 305253.6875, 'total_cpu_memory': 0, 'total_gpu_memory': 0}"
20250921_095155_148856_gczm80_2480041,USSR_CNN1D_COMBINED,0.079431361399759,0.2818356992997143,184.4743795394897,,0.7818598971084738,0.758777849432871,0.5868018418925505,0.8691549912879342,2875828064.001017,0.2094989765817354,"{'max_cuda_memory': 725319680.0, 'max_cpu_memory': 4648488.0, 'total_cpu_time': 1635647.375, 'total_gpu_time': 303792.625, 'total_cpu_memory': 0, 'total_gpu_memory': 0}"
20250921_095936_393669_34a38q_2484190,HDL_FM_V1,0.0013294732316285,0.0364619422360974,6.307223558425903,,0.9676494395632196,0.9437177066849448,0.9592306120047144,0.997793869640594,2308641480.0,0.0289887868257222,"{'max_cuda_memory': 11860825088.0, 'max_cpu_memory': 618248896.0, 'total_cuda_memory': 1312249856.0, 'total_cpu_memory': 20.0, 'total_cpu_time': 14138678.0, 'total_gpu_time': 6977300.0, 'flops': 0.0}"
20251001_160654_533844_dh2dcd_418446,1DCNN_V1,0.0789378434419632,0.2809587931387149,0.0743732452392578,,0.6865867738331117,0.5537937857846592,0.5059665357146761,0.9063502550125122,595303168.0,0.2632406593976922,"{'max_cuda_memory': 7424770560.0, 'max_cpu_memory': 8.0, 'total_cuda_memory': 3093298176.0, 'total_cpu_memory': 0.0, 'total_cpu_time': 1171035.5, 'total_gpu_time': 806685.9375, 'flops': 0.0}"
20251001_173140_139362_zp3hpo_468111,PICNN1D_V1,0.036019317805767,0.1897875596707199,0.083500862121582,0.92,0.7998989416144242,0.7300135522290547,0.669683272614218,0.9572676420211792,595303168.0,0.1649387494918399,"{'max_cuda_memory': 7424770560.0, 'max_cpu_memory': 8.0, 'total_cuda_memory': 3093298688.0, 'total_cpu_memory': 0.0, 'total_cpu_time': 1327170.25, 'total_gpu_time': 1007119.3125, 'flops': 0.0}"
20251001_223718_322115_186gp2_488004,USSR_CNN1D_COMBINED,0.0794313148178748,0.2818356166595607,188.6876347064972,0.95,0.7818597209516011,0.7587777085187712,0.5868014543360319,0.8691550777818924,2875828063.999201,0.2094989093064573,"{'max_cuda_memory': 725319680.0, 'max_cpu_memory': 4648488.0, 'total_cpu_time': 1364591.25, 'total_gpu_time': 168126.125, 'total_cpu_memory': 0, 'total_gpu_memory': 0}"
20251001_225514_395840_6qva05_492506,HDL_FM_V1,0.0014661993470661,0.0382909825816232,4.667645454406738,0.99,0.9660469205908456,0.9403391935535134,0.9578015682190232,0.9969398330028792,2308641480.0,0.0309450860685888,"{'max_cuda_memory': 11860825088.0, 'max_cpu_memory': 618248896.0, 'total_cuda_memory': 1383789568.0, 'total_cpu_memory': -8.0, 'total_cpu_time': 9164430.0, 'total_gpu_time': 4319640.5, 'flops': 0.0}"
20251002_114141_755960_ag5qfn_1257988,1DCNN_V1,0.0412167496979236,0.2030190870285936,0.0386989116668701,0.97,0.7921075248258673,0.7733254151127718,0.6029971593648303,0.951101541519165,595303168.0,0.1550424705374922,"{'max_cuda_memory': 7424770560.0, 'max_cpu_memory': 8.0, 'total_cuda_memory': 3093298176.0, 'total_cpu_memory': 0.0, 'total_cpu_time': 587989.625, 'total_gpu_time': 285615.5625, 'flops': 0.0}"
