run_id,model,total_neurons,trainable_params,loss,val_loss,train_time,model_file,training_memory_usage,hyperparameters
20250920_070828_032711_tybtk9_2407630,1DCNN_V1,298235525,298235525,[0.1786070317029953],[],39.43264627456665,,"{'max_cuda_memory': 4772188672.0, 'max_cpu_memory': 92.0, 'total_cuda_memory': 3894498304.0, 'total_cpu_memory': 88.0, 'total_cpu_time': 2134501.25, 'total_gpu_time': 1734599.25, 'flops': 0.0}","{""learning_rate"": 0.01, ""batch_size"": 64, ""epochs"": 1, ""patience"": 2, ""lag"": 8, ""horizon"": 1}"
20250920_074023_476222_j3uvcx_2420731,1DCNN_V1,298235525,298235525,[0.18178770715190518],[],38.31501865386963,,"{'max_cuda_memory': 4772188672.0, 'max_cpu_memory': 92.0, 'total_cuda_memory': 3894498304.0, 'total_cpu_memory': 88.0, 'total_cpu_time': 1341706.75, 'total_gpu_time': 570348.4375, 'flops': 0.0}","{""learning_rate"": 0.01, ""batch_size"": 64, ""epochs"": 1, ""patience"": 2, ""lag"": 8, ""horizon"": 1}"
20250920_074446_190730_41p3tz_2423000,PICNN1D_V1,298235525,298235525,[0.2020339003350722],[],44.85069131851196,/data/carlisle/out/runs/PICNN1D_V1/20250920_074446_190730_41p3tz_2423000/PICNN1D_V1_20250920_074446_190730_41p3tz_2423000.pth,"{'max_cuda_memory': 4772299776.0, 'max_cpu_memory': 92.0, 'total_cuda_memory': 4192304640.0, 'total_cpu_memory': 88.0, 'total_cpu_time': 2630215.25, 'total_gpu_time': 1674394.125, 'flops': 0.0}","{""learning_rate"": 0.01, ""batch_size"": 64, ""epochs"": 1, ""patience"": 2, ""lag"": 8, ""horizon"": 1, ""physics_weight"": 0.5}"
20250921_094422_034698_wsg3pw_2476281,USSR_CNN1D_COMBINED,2409724,1934591,,,16755.1568672657,,"{'max_cpu_memory': 1276.32421875, 'total_cpu_time': 76631649.765, 'total_gpu_time': 2981139.6328125, 'max_cuda_memory': 321683456.0, 'total_cpu_memory': 0, 'total_gpu_memory': 0}",
20250921_095155_148856_gczm80_2480041,USSR_CNN1D_COMBINED,2409724,1934591,,,16755.1568672657,,"{'max_cpu_memory': 1276.32421875, 'total_cpu_time': 76631649.765, 'total_gpu_time': 2981139.6328125, 'max_cuda_memory': 321683456.0, 'total_cpu_memory': 0, 'total_gpu_memory': 0}",
20250921_095936_393669_34a38q_2484190,HDL_FM_V1,574729960,574729960,"[0.08851591281891438, 0.009058794523020566, 0.005380206727173947, 0.004163176562452248, 0.003694023952538588, 0.0026014684681702435, 0.002507507536233268, 0.00224875949566672, 0.002041670978993519, 0.0018351602686643743, 0.0017639503133117101, 0.001728197467292993, 0.0021906862666791318, 0.0013747858972189136, 0.0012930184105084143, 0.0014795480726574697, 0.0012228428110665152, 0.001245214835783282, 0.001315082636668937, 0.0011566757719487463, 0.0011324668543072033, 0.0012799527589187297, 0.001031323378942978, 0.0011109742443725992, 0.0009961540696125848, 0.0010870525141100876, 0.0009142748889547083, 0.000996234423288976, 0.0009144676220736587, 0.0008961678919593896, 0.0008921769453401016, 0.0009706484130317103, 0.000824141436308011, 0.0007586043702619762, 0.0007803439749635841, 0.0007410837523550335, 0.0008132230516661754, 0.0007232762245551989, 0.0006136906246400531, 0.0007732619181762357, 0.0006219157496980882, 0.0006363082164809648, 0.0006585884310539727, 0.0006528438461272629, 0.0005937722331190212, 0.0007684286624923675, 0.0006181293747917471, 0.0006631197111693545, 0.0005917837461172284, 0.0005137346597621217]",[],6490.900199890137,,"{'max_cuda_memory': 6899591168.0, 'max_cpu_memory': 52.0, 'total_cuda_memory': 6954698752.0, 'total_cpu_memory': 48.0, 'total_cpu_time': 2430092.0, 'total_gpu_time': 1452268.625, 'flops': 0.0}","{""learning_rate"": 0.001, ""batch_size"": 8, ""epochs"": 50, ""patience"": 2, ""lag"": 1, ""horizon"": 1}"
20251001_160654_533844_dh2dcd_418446,1DCNN_V1,298235525,298235525,[0.15322537188019072],[],60.06001043319702,,"{'max_cuda_memory': 4771983872.0, 'max_cpu_memory': 92.0, 'total_cuda_memory': 3745455104.0, 'total_cpu_memory': 88.0, 'total_cpu_time': 2604996.5, 'total_gpu_time': 1898912.75, 'flops': 0.0}","{""learning_rate"": 0.01, ""batch_size"": 32, ""epochs"": 1, ""patience"": 2, ""lag"": 8, ""horizon"": 1}"
20251001_173140_139362_zp3hpo_468111,PICNN1D_V1,298235525,298235525,[0.2021759792014947],[],54.12713575363159,/data/carlisle/out/runs/PICNN1D_V1/20251001_173140_139362_zp3hpo_468111/PICNN1D_V1_20251001_173140_139362_zp3hpo_468111.pth,"{'max_cuda_memory': 4772299776.0, 'max_cpu_memory': 92.0, 'total_cuda_memory': 4192304640.0, 'total_cpu_memory': 88.0, 'total_cpu_time': 3276415.0, 'total_gpu_time': 2016586.0, 'flops': 0.0}","{""learning_rate"": 0.01, ""batch_size"": 64, ""epochs"": 1, ""patience"": 2, ""lag"": 8, ""horizon"": 1, ""physics_weight"": 0.5}"
20251001_223718_322115_186gp2_488004,USSR_CNN1D_COMBINED,2409724,1934591,,,16755.1568672657,,"{'max_cpu_memory': np.float64(1276.32421875), 'total_cpu_time': np.float64(76631649.765), 'total_gpu_time': np.float64(2981139.6328125), 'max_cuda_memory': 321683456.0, 'total_cpu_memory': 0, 'total_gpu_memory': 0}",
20251001_225514_395840_6qva05_492506,HDL_FM_V1,574729960,574729960,"[0.13106645356316318, 0.006433849149198762, 0.003956539280897447, 0.002406416300467379, 0.0020527276301575215, 0.0017559922507782786, 0.0018781225851520129, 0.0014943010144856338, 0.0014226185004600103, 0.0014131134582544811, 0.0013262411510173715, 0.0013373852315321493, 0.001205078701405139, 0.0010482589570931621, 0.0010786676216863436, 0.001168678077768698, 0.0009405177013498895, 0.0010788930540696455, 0.0009636505014167118, 0.0009187127935401527, 0.0008362990963754408, 0.0008663795710690604, 0.003391694270304532, 0.0010950944838753922, 0.0008650873175632024, 0.0007694729134833213, 0.0007083492571504019, 0.0006776463171735563, 0.0006832790100913253, 0.0006684143046665411, 0.0006632070657610538, 0.0007386431157969308, 0.0006490800534606065, 0.0006375978797459121, 0.0006436275815696079, 0.0007025890231384888, 0.0006264156984291502, 0.0006189605053194322, 0.0005839759177787813, 0.0005638995963212756, 0.0005929925539424174, 0.0006878736113661985, 0.000572732062557115, 0.0006478282329510854, 0.0005728547558639881, 0.000556172628976753, 0.0005329908350551899, 0.0005172820554518333, 0.0005002584422135171, 0.0005232924849856005]",[],15168.5446434021,,"{'max_cuda_memory': 6899591168.0, 'max_cpu_memory': 52.0, 'total_cuda_memory': 6954698752.0, 'total_cpu_memory': 48.0, 'total_cpu_time': 2033647.625, 'total_gpu_time': 1185207.625, 'flops': 0.0}","{""learning_rate"": 0.001, ""batch_size"": 8, ""epochs"": 50, ""patience"": 2, ""lag"": 1, ""horizon"": 1}"
