Model,Mean_RMSE_m,Max_RMSE_m,Min_RMSE_m,Median_RMSE_m,IQR_RMSE_m
Tier-1,0.4025416,1.4797947,0.1455136,0.2965508,0.22294532
Tier-2,0.3709765,0.69018334,0.15781866,0.36215806,0.20400706
Tier-3,0.34870878,0.9162035,0.13409913,0.33126912,0.1416573
Tier-4,0.08819901,0.34753183,0.051635075,0.08358057,0.03381677
Tier-1,0.4025416076183319,1.47979474067688,0.1455135941505432,0.2965508103370666,0.2229453176259994
Tier-2,0.3709765076637268,0.6901833415031433,0.1578186601400375,0.3621580600738525,0.2040070593357086
Tier-3,0.3487087786197662,0.916203498840332,0.1340991258621215,0.3312691152095794,0.141657292842865
Tier-4,0.0881990119814872,0.3475318253040313,0.0516350753605365,0.0835805684328079,0.0338167697191238
Tier-1,0.4025416076183319,1.4797947406768799,0.1455135941505432,0.29655081033706665,0.22294531762599945
Tier-2,0.3709765076637268,0.6901833415031433,0.15781866014003754,0.36215806007385254,0.20400705933570862
Tier-3,0.34870877861976624,0.916203498840332,0.13409912586212158,0.33126911520957947,0.141657292842865
Tier-4,0.08819901198148727,0.34753182530403137,0.051635075360536575,0.08358056843280792,0.03381676971912384
