Model,Mean_RMSE_m,Max_RMSE_m,Min_RMSE_m,Median_RMSE_m,IQR_RMSE_m
Tier-1,0.24920127,1.9884835,6.1313935e-05,0.21609935,0.16411997
Tier-2,0.30608952,1.6399655,6.1313935e-05,0.29556972,0.07783562
Tier-3,0.28053957,1.7449925,6.1313935e-05,0.27242723,0.09240763
Tier-4,0.07461079,2.1592212,6.1313935e-05,0.06883696,0.03051462
Tier-1,0.2492012679576873,1.988483548164368,6.131393456598744e-05,0.216099351644516,0.1641199737787246
Tier-2,0.3060895204544067,1.639965534210205,6.131393456598744e-05,0.2955697178840637,0.0778356194496154
Tier-3,0.2805395722389221,1.74499249458313,6.131393456598744e-05,0.2724272310733795,0.0924076288938522
Tier-4,0.0746107921004295,2.159221172332764,6.131393456598744e-05,0.0688369572162628,0.030514620244503
Tier-1,0.24920126795768738,1.9884835481643677,6.131393456598744e-05,0.216099351644516,0.16411997377872467
Tier-2,0.30608952045440674,1.639965534210205,6.131393456598744e-05,0.2955697178840637,0.07783561944961548
Tier-3,0.2805395722389221,1.7449924945831299,6.131393456598744e-05,0.2724272310733795,0.09240762889385223
Tier-4,0.07461079210042953,2.1592211723327637,6.131393456598744e-05,0.06883695721626282,0.03051462024450302
