Model,Mean_RMSE_m,Max_RMSE_m,Min_RMSE_m,Median_RMSE_m,IQR_RMSE_m
Tier-1,0.15819171,0.29605925,0.06914295,0.16197124,0.06972706
Tier-2,0.18206722,0.35177824,0.11242656,0.16255118,0.07197575
Tier-3,0.16748278,0.3006184,0.09704449,0.15142244,0.071784854
Tier-4,0.047376074,0.070801064,0.014577739,0.04970359,0.014312606
Tier-1,0.1581917107105255,0.296059250831604,0.0691429525613784,0.161971241235733,0.0697270631790161
Tier-2,0.1820672154426574,0.3517782390117645,0.1124265566468238,0.1625511795282364,0.071975752711296
Tier-3,0.167482778429985,0.3006184101104736,0.0970444902777671,0.1514224410057068,0.0717848539352417
Tier-4,0.0473760738968849,0.0708010643720626,0.0145777389407157,0.0497035905718803,0.0143126063048839
Tier-1,0.1581917107105255,0.296059250831604,0.06914295256137848,0.16197124123573303,0.06972706317901611
Tier-2,0.18206721544265747,0.3517782390117645,0.11242655664682388,0.1625511795282364,0.07197575271129608
Tier-3,0.16748277842998505,0.30061841011047363,0.09704449027776718,0.1514224410057068,0.0717848539352417
Tier-4,0.04737607389688492,0.07080106437206268,0.01457773894071579,0.04970359057188034,0.014312606304883957
